hrv_uint8,ee_status,timestamp_received,rr_hr,rr,sensor_contact,rr_interval,hr
True,False,2024-08-12 17:28:43.305928,"[168, 168, 168]","[356, 356, 356]",Contact detected,True,164
True,False,2024-08-12 17:28:44.326201,"[168, 166]","[356, 360]",Contact detected,True,164
True,False,2024-08-12 17:28:45.315557,"[166, 166, 168]","[360, 360, 356]",Contact detected,True,164
True,False,2024-08-12 17:28:46.306059,"[170, 168, 168]","[352, 356, 356]",Contact detected,True,164
True,False,2024-08-12 17:28:47.326332,"[168, 168, 168]","[356, 356, 356]",Contact detected,True,164
True,False,2024-08-12 17:28:48.315687,"[168, 166, 168]","[356, 360, 356]",Contact detected,True,165
True,False,2024-08-12 17:28:49.335410,"[168, 168]","[356, 356]",Contact detected,True,164
True,False,2024-08-12 17:28:50.326050,"[170, 168, 168]","[352, 356, 356]",Contact detected,True,164
True,False,2024-08-12 17:28:51.315406,"[166, 168, 168]","[360, 356, 356]",Contact detected,True,164
True,False,2024-08-12 17:28:52.305761,"[168, 168]","[356, 356]",Contact detected,True,165
True,False,2024-08-12 17:28:53.326031,"[168, 170, 168, 168]","[356, 352, 356, 356]",Contact detected,True,164
True,False,2024-08-12 17:28:54.346305,"[168, 166]","[356, 360]",Contact detected,True,165
True,False,2024-08-12 17:28:55.305741,"[168, 168, 170]","[356, 356, 352]",Contact detected,True,165
True,False,2024-08-12 17:28:56.326012,"[168, 170, 168]","[356, 352, 356]",Contact detected,True,165
True,False,2024-08-12 17:28:57.315368,"[168, 168]","[356, 356]",Contact detected,True,165
True,False,2024-08-12 17:28:58.305720,"[168, 168, 168]","[356, 356, 356]",Contact detected,True,165
True,False,2024-08-12 17:28:59.325995,"[170, 170, 170]","[352, 352, 352]",Contact detected,True,165
True,False,2024-08-12 17:29:00.316346,"[170, 168]","[352, 356]",Contact detected,True,165
True,False,2024-08-12 17:29:01.305702,"[168, 170, 168]","[356, 352, 356]",Contact detected,True,165
True,False,2024-08-12 17:29:02.325975,"[168, 168, 170]","[356, 356, 352]",Contact detected,True,165
True,False,2024-08-12 17:29:03.316329,"[170, 172, 170]","[352, 348, 352]",Contact detected,True,165
True,False,2024-08-12 17:29:04.305683,"[170, 170, 168]","[352, 352, 356]",Contact detected,True,166
True,False,2024-08-12 17:29:05.325955,"[170, 168]","[352, 356]",Contact detected,True,166
True,False,2024-08-12 17:29:06.316309,"[170, 170, 170]","[352, 352, 352]",Contact detected,True,166
True,False,2024-08-12 17:29:07.305663,"[168, 168, 172]","[356, 356, 348]",Contact detected,True,166
True,False,2024-08-12 17:29:08.325937,"[170, 168, 170]","[352, 356, 352]",Contact detected,True,166
True,False,2024-08-12 17:29:09.316289,"[168, 172]","[356, 348]",Contact detected,True,166
True,False,2024-08-12 17:29:10.305644,"[170, 170, 170]","[352, 352, 352]",Contact detected,True,166
True,False,2024-08-12 17:29:11.295997,"[170, 170, 168]","[352, 352, 356]",Contact detected,True,166
True,False,2024-08-12 17:29:12.316271,"[168, 170]","[356, 352]",Contact detected,True,166
True,False,2024-08-12 17:29:13.305625,"[170, 172, 168, 170]","[352, 348, 356, 352]",Contact detected,True,166
True,False,2024-08-12 17:29:14.295978,"[170, 170]","[352, 352]",Contact detected,True,166
True,False,2024-08-12 17:29:15.316251,"[170, 168, 168]","[352, 356, 356]",Contact detected,True,166
