rr_hr,hrv_uint8,timestamp_received,rr,ee_status,hr,sensor_contact,rr_interval
"[130, 128]",True,2024-06-19 13:41:51.092128,"[461, 466]",False,135,Sensor contact not supported,True
"[127, 126]",True,2024-06-19 13:41:52.087924,"[470, 475]",False,132,Sensor contact not supported,True
"[125, 123]",True,2024-06-19 13:41:53.091336,"[480, 484]",False,130,Sensor contact not supported,True
"[122, 121]",True,2024-06-19 13:41:54.085755,"[489, 494]",False,128,Sensor contact not supported,True
"[120, 119]",True,2024-06-19 13:41:55.086393,"[499, 503]",False,126,Sensor contact not supported,True
"[119, 120]",True,2024-06-19 13:41:56.079979,"[502, 498]",False,123,Sensor contact not supported,True
"[121, 122]",True,2024-06-19 13:41:58.079050,"[494, 489]",False,122,Sensor contact not supported,True
"[123, 124]",True,2024-06-19 13:41:58.080018,"[485, 481]",False,122,Sensor contact not supported,True
"[125, 126]",True,2024-06-19 13:41:59.073683,"[478, 474]",False,123,Sensor contact not supported,True
"[127, 128, 129]",True,2024-06-19 13:42:00.073512,"[471, 468, 465]",False,125,Sensor contact not supported,True
"[129, 130]",True,2024-06-19 13:42:01.066532,"[462, 459]",False,126,Sensor contact not supported,True
"[131, 131]",True,2024-06-19 13:42:02.069066,"[458, 455]",False,128,Sensor contact not supported,True
"[132, 133]",True,2024-06-19 13:42:03.066630,"[453, 451]",False,129,Sensor contact not supported,True
"[133, 134]",True,2024-06-19 13:42:04.061048,"[448, 447]",False,131,Sensor contact not supported,True
"[135, 135, 136]",True,2024-06-19 13:42:05.061522,"[444, 443, 441]",False,133,Sensor contact not supported,True
"[136, 137]",True,2024-06-19 13:42:06.058409,"[439, 437]",False,134,Sensor contact not supported,True
"[137, 138]",True,2024-06-19 13:42:07.056510,"[436, 434]",False,135,Sensor contact not supported,True
"[138, 139, 139]",True,2024-06-19 13:42:08.054087,"[433, 431, 430]",False,137,Sensor contact not supported,True
"[140, 140]",True,2024-06-19 13:42:09.051503,"[428, 427]",False,138,Sensor contact not supported,True
"[140, 141]",True,2024-06-19 13:42:10.049528,"[426, 425]",False,139,Sensor contact not supported,True
"[141, 142, 142]",True,2024-06-19 13:42:11.043132,"[424, 422, 421]",False,140,Sensor contact not supported,True
"[142, 143]",True,2024-06-19 13:42:12.044545,"[420, 419]",False,141,Sensor contact not supported,True
"[143, 143, 144]",True,2024-06-19 13:42:13.034984,"[418, 417, 416]",False,142,Sensor contact not supported,True
"[144, 144]",True,2024-06-19 13:42:14.039589,"[416, 416]",False,143,Sensor contact not supported,True
