timestamp_received,hr,rr_interval,rr,rr_hr,ee_status,sensor_contact,hrv_uint8
2024-06-19 14:01:25.787837,130,True,"[453, 451, 449]","[132, 133, 133]",False,Sensor contact not supported,True
2024-06-19 14:01:26.785481,131,True,"[447, 445]","[134, 134]",False,Sensor contact not supported,True
2024-06-19 14:01:27.783425,133,True,"[443, 441]","[135, 136]",False,Sensor contact not supported,True
2024-06-19 14:01:28.780298,134,True,"[439, 437]","[136, 137]",False,Sensor contact not supported,True
2024-06-19 14:01:29.778344,136,True,"[436, 434, 433]","[137, 138, 138]",False,Sensor contact not supported,True
2024-06-19 14:01:30.775482,137,True,"[431, 430]","[139, 139]",False,Sensor contact not supported,True
2024-06-19 14:01:31.772729,138,True,"[429, 427]","[139, 140]",False,Sensor contact not supported,True
2024-06-19 14:01:33.768125,139,True,"[426, 425, 424]","[140, 141, 141]",False,Sensor contact not supported,True
2024-06-19 14:01:33.769123,140,True,"[423, 421]","[141, 142]",False,Sensor contact not supported,True
2024-06-19 14:01:34.765728,141,True,"[420, 419, 418]","[142, 143, 143]",False,Sensor contact not supported,True
2024-06-19 14:01:35.763462,142,True,"[417, 416]","[143, 144]",False,Sensor contact not supported,True
2024-06-19 14:01:36.760970,143,True,"[416, 416]","[144, 144]",False,Sensor contact not supported,True
2024-06-19 14:01:37.758241,143,True,"[415, 414, 413]","[144, 144, 145]",False,Sensor contact not supported,True
2024-06-19 14:01:38.755897,144,True,"[414, 416]","[144, 144]",False,Sensor contact not supported,True
2024-06-19 14:01:40.750120,144,True,"[418, 422, 425]","[143, 142, 141]",False,Sensor contact not supported,True
2024-06-19 14:01:40.752116,143,True,"[428, 432]","[140, 138]",False,Sensor contact not supported,True
2024-06-19 14:01:41.748367,141,True,"[435, 439]","[137, 136]",False,Sensor contact not supported,True
2024-06-19 14:01:42.746073,140,True,"[443, 446]","[135, 134]",False,Sensor contact not supported,True
2024-06-19 14:01:43.742736,138,True,"[450, 455]","[133, 131]",False,Sensor contact not supported,True
2024-06-19 14:01:44.740844,136,True,"[458, 462]","[131, 129]",False,Sensor contact not supported,True
2024-06-19 14:01:45.738047,132,True,"[466, 471, 476]","[128, 127, 126]",False,Sensor contact not supported,True
2024-06-19 14:01:46.735481,130,True,"[481, 486]","[124, 123]",False,Sensor contact not supported,True
2024-06-19 14:01:47.733341,128,True,"[491, 495]","[122, 121]",False,Sensor contact not supported,True
2024-06-19 14:01:48.730165,125,True,"[500, 504]","[120, 119]",False,Sensor contact not supported,True
2024-06-19 14:01:49.727663,123,True,"[500, 495]","[120, 121]",False,Sensor contact not supported,True
2024-06-19 14:01:50.725411,122,True,"[491, 487]","[122, 123]",False,Sensor contact not supported,True
2024-06-19 14:01:51.723295,123,True,"[483, 479]","[124, 125]",False,Sensor contact not supported,True
2024-06-19 14:01:53.718174,124,True,"[476, 473]","[126, 126]",False,Sensor contact not supported,True
2024-06-19 14:01:53.719173,125,True,"[469, 466]","[127, 128]",False,Sensor contact not supported,True
2024-06-19 14:01:54.715557,126,True,"[463, 460]","[129, 130]",False,Sensor contact not supported,True
2024-06-19 14:01:55.713146,128,True,"[458, 456, 454]","[131, 131, 132]",False,Sensor contact not supported,True
2024-06-19 14:01:56.710789,130,True,"[452, 450]","[132, 133]",False,Sensor contact not supported,True
2024-06-19 14:01:57.707943,131,True,"[447, 445]","[134, 134]",False,Sensor contact not supported,True
2024-06-19 14:01:58.705312,132,True,"[443, 442]","[135, 135]",False,Sensor contact not supported,True
2024-06-19 14:01:59.702860,134,True,"[440, 438, 437]","[136, 136, 137]",False,Sensor contact not supported,True
2024-06-19 14:02:00.700289,135,True,"[435, 433]","[137, 138]",False,Sensor contact not supported,True
2024-06-19 14:02:01.698231,136,True,"[432, 430]","[138, 139]",False,Sensor contact not supported,True
2024-06-19 14:02:02.695515,138,True,"[429, 428, 427]","[139, 140, 140]",False,Sensor contact not supported,True
2024-06-19 14:02:03.692753,139,True,"[425, 424]","[141, 141]",False,Sensor contact not supported,True
2024-06-19 14:02:04.690786,140,True,"[423, 422]","[141, 142]",False,Sensor contact not supported,True
2024-06-19 14:02:05.688403,141,True,"[421, 420, 419]","[142, 142, 143]",False,Sensor contact not supported,True
2024-06-19 14:02:06.685765,142,True,"[418, 417]","[143, 143]",False,Sensor contact not supported,True
2024-06-19 14:02:07.682893,143,True,"[416, 416, 415]","[144, 144, 144]",False,Sensor contact not supported,True
2024-06-19 14:02:08.680368,143,True,"[414, 413]","[144, 145]",False,Sensor contact not supported,True
2024-06-19 14:02:09.678437,144,True,"[413, 416]","[145, 144]",False,Sensor contact not supported,True
2024-06-19 14:02:10.675228,144,True,"[418, 421, 424]","[143, 142, 141]",False,Sensor contact not supported,True
2024-06-19 14:02:11.673249,143,True,"[427, 431]","[140, 139]",False,Sensor contact not supported,True
2024-06-19 14:02:13.668133,142,True,"[434, 438]","[138, 136]",False,Sensor contact not supported,True
2024-06-19 14:02:13.669132,140,True,"[442, 446]","[135, 134]",False,Sensor contact not supported,True
2024-06-19 14:02:14.665776,137,True,"[450, 454, 458]","[133, 132, 131]",False,Sensor contact not supported,True
2024-06-19 14:02:15.663371,135,True,"[461, 466]","[130, 128]",False,Sensor contact not supported,True
2024-06-19 14:02:16.660912,133,True,"[470, 475]","[127, 126]",False,Sensor contact not supported,True
2024-06-19 14:02:17.658077,130,True,"[479, 485]","[125, 123]",False,Sensor contact not supported,True
2024-06-19 14:02:18.655831,128,True,"[489, 494]","[122, 121]",False,Sensor contact not supported,True
2024-06-19 14:02:19.653095,125,True,"[500, 504]","[120, 119]",False,Sensor contact not supported,True
2024-06-19 14:02:20.650240,123,True,"[500, 496]","[120, 120]",False,Sensor contact not supported,True
2024-06-19 14:02:21.647768,122,True,"[492, 488]","[121, 122]",False,Sensor contact not supported,True
2024-06-19 14:02:22.645849,123,True,"[484, 480]","[123, 125]",False,Sensor contact not supported,True
2024-06-19 14:02:23.643459,123,True,"[476, 473]","[126, 126]",False,Sensor contact not supported,True
2024-06-19 14:02:24.640577,125,True,"[470, 466]","[127, 128]",False,Sensor contact not supported,True
2024-06-19 14:02:25.638209,127,True,"[464, 461, 458]","[129, 130, 131]",False,Sensor contact not supported,True
2024-06-19 14:02:26.635127,128,True,"[457, 454]","[131, 132]",False,Sensor contact not supported,True
