ee_status,hr,timestamp_received,rr_hr,sensor_contact,hrv_uint8,rr,rr_interval
False,120,2024-06-20 15:00:17.610187,"[120, 120]",Sensor contact not supported,True,"[500, 500]",True
False,120,2024-06-20 15:00:18.386807,[120],Sensor contact not supported,True,[500],True
False,120,2024-06-20 15:00:19.163136,"[120, 120]",Sensor contact not supported,True,"[500, 500]",True
False,120,2024-06-20 15:00:19.938849,[120],Sensor contact not supported,True,[500],True
False,120,2024-06-20 15:00:20.715546,"[120, 120]",Sensor contact not supported,True,"[500, 500]",True
False,120,2024-06-20 15:00:21.491787,"[120, 120]",Sensor contact not supported,True,"[500, 500]",True
False,120,2024-06-20 15:00:22.267630,[120],Sensor contact not supported,True,[500],True
False,120,2024-06-20 15:00:23.043955,"[120, 120]",Sensor contact not supported,True,"[500, 500]",True
False,120,2024-06-20 15:00:23.820705,[120],Sensor contact not supported,True,[500],True
False,120,2024-06-20 15:00:24.596620,"[120, 120]",Sensor contact not supported,True,"[500, 499]",True
False,120,2024-06-20 15:00:25.372696,[120],Sensor contact not supported,True,[500],True
False,120,2024-06-20 15:00:26.148868,"[120, 120]",Sensor contact not supported,True,"[500, 500]",True
False,120,2024-06-20 15:00:26.925163,[120],Sensor contact not supported,True,[500],True
False,120,2024-06-20 15:00:27.702040,"[120, 120]",Sensor contact not supported,True,"[500, 500]",True
False,120,2024-06-20 15:00:28.478260,[120],Sensor contact not supported,True,[500],True
False,120,2024-06-20 15:00:29.253853,"[120, 120]",Sensor contact not supported,True,"[500, 500]",True
False,120,2024-06-20 15:00:30.030475,"[120, 120]",Sensor contact not supported,True,"[500, 500]",True
False,120,2024-06-20 15:00:30.807006,[120],Sensor contact not supported,True,[499],True
False,120,2024-06-20 15:00:31.582896,"[120, 120]",Sensor contact not supported,True,"[500, 500]",True
False,120,2024-06-20 15:00:32.359368,[120],Sensor contact not supported,True,[499],True
False,119,2024-06-20 15:00:33.134893,"[120, 120]",Sensor contact not supported,True,"[500, 500]",True
False,120,2024-06-20 15:00:33.911335,[120],Sensor contact not supported,True,[500],True
False,120,2024-06-20 15:00:34.688480,"[120, 120]",Sensor contact not supported,True,"[500, 500]",True
False,120,2024-06-20 15:00:35.464453,[120],Sensor contact not supported,True,[500],True
False,120,2024-06-20 15:00:36.240554,"[120, 120]",Sensor contact not supported,True,"[500, 500]",True
False,120,2024-06-20 15:00:37.016907,[120],Sensor contact not supported,True,[500],True
False,120,2024-06-20 15:00:37.793154,"[120, 120]",Sensor contact not supported,True,"[500, 500]",True
False,120,2024-06-20 15:00:38.569912,"[120, 120]",Sensor contact not supported,True,"[500, 500]",True
False,120,2024-06-20 15:00:39.345623,[120],Sensor contact not supported,True,[500],True
False,120,2024-06-20 15:00:40.121662,"[120, 120]",Sensor contact not supported,True,"[500, 500]",True
False,120,2024-06-20 15:00:40.898116,[120],Sensor contact not supported,True,[500],True
False,120,2024-06-20 15:00:41.674535,"[120, 120]",Sensor contact not supported,True,"[500, 500]",True
False,120,2024-06-20 15:00:42.451182,[120],Sensor contact not supported,True,[500],True
False,120,2024-06-20 15:00:43.226940,"[120, 120]",Sensor contact not supported,True,"[500, 500]",True
False,120,2024-06-20 15:00:44.003572,[120],Sensor contact not supported,True,[500],True
False,120,2024-06-20 15:00:44.780018,"[120, 120]",Sensor contact not supported,True,"[499, 500]",True
False,120,2024-06-20 15:00:45.555644,"[120, 152]",Sensor contact not supported,True,"[500, 394]",True
False,120,2024-06-20 15:00:46.331929,,Sensor contact not supported,True,,False
False,120,2024-06-20 15:00:47.108029,,Sensor contact not supported,True,,False
