timestamp_received,rr_hr,hrv_uint8,hr,sensor_contact,ee_status,rr_interval,rr
2024-08-12 12:13:16.465336,[112],True,120,Contact detected,False,True,[534]
2024-08-12 12:13:17.455689,[61],True,120,Contact detected,False,True,[973]
2024-08-12 12:13:18.445045,[61],True,119,Contact detected,False,True,[977]
2024-08-12 12:13:19.435398,[61],True,119,Contact detected,False,True,[973]
2024-08-12 12:13:20.455671,[61],True,119,Contact detected,False,True,[977]
2024-08-12 12:13:21.445028,[61],True,119,Contact detected,False,True,[977]
2024-08-12 12:13:22.435380,[61],True,119,Contact detected,False,True,[977]
2024-08-12 12:13:23.455651,[61],True,119,Contact detected,False,True,[973]
2024-08-12 12:13:24.445007,[61],True,119,Contact detected,False,True,[977]
2024-08-12 12:13:25.435567,[61],True,112,Contact detected,False,True,[977]
2024-08-12 12:13:26.455872,[61],True,106,Contact detected,False,True,[977]
2024-08-12 12:13:27.445187,[61],True,99,Contact detected,False,True,[973]
2024-08-12 12:13:28.435539,[61],True,90,Contact detected,False,True,[977]
2024-08-12 12:13:29.455823,[61],True,80,Contact detected,False,True,[977]
2024-08-12 12:13:30.445180,[61],True,70,Contact detected,False,True,[977]
2024-08-12 12:13:31.435532,[61],True,65,Contact detected,False,True,[973]
2024-08-12 12:13:32.455806,[61],True,62,Contact detected,False,True,[977]
2024-08-12 12:13:33.445161,[61],True,61,Contact detected,False,True,[977]
2024-08-12 12:13:34.435514,[61],True,61,Contact detected,False,True,[977]
2024-08-12 12:13:35.455787,[61],True,60,Contact detected,False,True,[977]
2024-08-12 12:13:36.445141,[61],True,60,Contact detected,False,True,[973]
2024-08-12 12:13:37.465413,[61],True,60,Contact detected,False,True,[977]
2024-08-12 12:13:38.455767,[61],True,60,Contact detected,False,True,[977]
2024-08-12 12:13:39.445122,[61],True,60,Contact detected,False,True,[977]
2024-08-12 12:13:40.435474,[61],True,60,Contact detected,False,True,[973]
2024-08-12 12:13:41.455747,[61],True,60,Contact detected,False,True,[977]
2024-08-12 12:13:42.445102,[61],True,60,Contact detected,False,True,[977]
2024-08-12 12:13:43.435535,[61],True,60,Contact detected,False,True,[977]
2024-08-12 12:13:44.455807,[61],True,60,Contact detected,False,True,[973]
2024-08-12 12:13:45.445203,[61],True,60,Contact detected,False,True,[977]
2024-08-12 12:13:46.435514,[61],True,60,Contact detected,False,True,[977]
2024-08-12 12:13:47.455829,[61],True,60,Contact detected,False,True,[977]
2024-08-12 12:13:48.475056,[61],True,60,Contact detected,False,True,[973]
2024-08-12 12:13:49.465408,[61],True,60,Contact detected,False,True,[977]
2024-08-12 12:13:50.455762,[61],True,60,Contact detected,False,True,[977]
2024-08-12 12:13:51.445117,[61],True,60,Contact detected,False,True,[977]
2024-08-12 12:13:52.435470,[61],True,60,Contact detected,False,True,[977]
2024-08-12 12:13:53.455744,[61],True,60,Contact detected,False,True,[973]
2024-08-12 12:13:54.445098,[61],True,60,Contact detected,False,True,[977]
2024-08-12 12:13:55.435451,[61],True,60,Contact detected,False,True,[977]
2024-08-12 12:13:56.455724,[61],True,60,Contact detected,False,True,[977]
2024-08-12 12:13:57.445079,[61],True,60,Contact detected,False,True,[973]
2024-08-12 12:13:58.435432,[61],True,60,Contact detected,False,True,[977]
2024-08-12 12:13:59.455706,[61],True,60,Contact detected,False,True,[977]
2024-08-12 12:14:00.445062,[61],True,60,Contact detected,False,True,[977]
2024-08-12 12:14:01.435413,[61],True,60,Contact detected,False,True,[973]
2024-08-12 12:14:02.455685,[61],True,60,Contact detected,False,True,[977]
2024-08-12 12:14:03.504881,[61],True,60,Contact detected,False,True,[977]
2024-08-12 12:14:04.435394,[61],True,60,Contact detected,False,True,[977]
2024-08-12 12:14:05.455738,[61],True,60,Contact detected,False,True,[973]
2024-08-12 12:14:06.445093,[61],True,60,Contact detected,False,True,[977]
2024-08-12 12:14:07.435446,[61],True,60,Contact detected,False,True,[977]
2024-08-12 12:14:08.455718,[61],True,60,Contact detected,False,True,[977]
2024-08-12 12:14:09.445074,[61],True,60,Contact detected,False,True,[977]
2024-08-12 12:14:10.435426,[61],True,60,Contact detected,False,True,[973]
2024-08-12 12:14:11.455699,[61],True,60,Contact detected,False,True,[977]
2024-08-12 12:14:12.445097,[61],True,60,Contact detected,False,True,[977]
2024-08-12 12:14:13.435408,[61],True,60,Contact detected,False,True,[977]
2024-08-12 12:14:14.455440,[61],True,60,Contact detected,False,True,[973]
2024-08-12 12:14:15.445793,[61],True,60,Contact detected,False,True,[977]
2024-08-12 12:14:16.435150,[61],True,60,Contact detected,False,True,[977]
