,time,amplitude
576,-0.000359542,-0.4343
577,-0.00035954,-0.4343
578,-0.000359538,-0.4343
579,-0.000359536,-0.4343
580,-0.000359534,-0.4141
581,-0.000359532,-0.4141
582,-0.00035953,-0.4141
583,-0.000359528,-0.4141
584,-0.000359526,-0.4141
585,-0.000359524,-0.4141
586,-0.000359522,-0.4141
587,-0.00035952,-0.4141
588,-0.000359518,-0.4343
589,-0.000359516,-0.4343
590,-0.000359514,-0.4343
591,-0.000359512,-0.4343
592,-0.00035951,-0.4343
593,-0.000359508,-0.4141
594,-0.000359506,-0.4141
595,-0.000359504,-0.4343
596,-0.000359502,-0.4141
597,-0.0003595,-0.4141
598,-0.000359498,-0.4141
599,-0.000359496,-0.4141
600,-0.000359494,-0.4141
601,-0.000359492,-0.4343
602,-0.00035949,-0.4343
603,-0.000359488,-0.4343
604,-0.000359486,-0.4343
605,-0.000359484,-0.4343
606,-0.000359482,-0.4343
607,-0.00035948,-0.4343
608,-0.000359478,-0.4343
609,-0.000359476,-0.4343
610,-0.000359474,-0.4343
611,-0.000359472,-0.4343
612,-0.00035947,-0.4343
613,-0.000359468,-0.4343
614,-0.000359466,-0.4343
615,-0.000359464,-0.4343
616,-0.000359462,-0.4141
617,-0.00035946,-0.4141
618,-0.000359458,-0.4141
619,-0.000359456,-0.4343
620,-0.000359454,-0.4343
621,-0.000359452,-0.4343
622,-0.00035945,-0.4343
623,-0.000359448,-0.4343
624,-0.000359446,-0.4343
625,-0.000359444,-0.4343
626,-0.000359442,-0.4141
627,-0.00035944,-0.4343
628,-0.000359438,-0.4343
629,-0.000359436,-0.4343
630,-0.000359434,-0.4343
631,-0.000359432,-0.4343
632,-0.00035943,-0.4141
633,-0.000359428,-0.4343
634,-0.000359426,-0.4343
635,-0.000359424,-0.4343
636,-0.000359422,-0.4141
637,-0.00035942,-0.4141
638,-0.000359418,-0.4343
639,-0.000359416,-0.4343
640,-0.000359414,-0.4343
641,-0.000359412,-0.4343
642,-0.00035941,-0.4343
643,-0.000359408,-0.4343
644,-0.000359406,-0.4343
645,-0.000359404,-0.4343
646,-0.000359402,-0.4141
647,-0.0003594,-0.4141
648,-0.000359398,-0.4141
649,-0.000359396,-0.4343
650,-0.000359394,-0.4343
651,-0.000359392,-0.4343
652,-0.00035939,-0.4343
653,-0.000359388,-0.4343
