rr,hrv_uint8,ee_status,sensor_contact,hr,rr_hr,rr_interval,timestamp_received
[765],True,False,Sensor contact not supported,82,[78],True,2024-06-19 12:20:28.295814
"[791, 846]",True,False,Sensor contact not supported,81,"[75, 70]",True,2024-06-19 12:20:29.289361
[856],True,False,Sensor contact not supported,80,[70],True,2024-06-19 12:20:30.283903
[844],True,False,Sensor contact not supported,79,[71],True,2024-06-19 12:20:31.283425
[814],True,False,Sensor contact not supported,78,[73],True,2024-06-19 12:20:32.281338
"[787, 785]",True,False,Sensor contact not supported,77,"[76, 76]",True,2024-06-19 12:20:33.278553
[770],True,False,Sensor contact not supported,77,[77],True,2024-06-19 12:20:34.276647
[769],True,False,Sensor contact not supported,77,[78],True,2024-06-19 12:20:35.272599
"[794, 781]",True,False,Sensor contact not supported,77,"[75, 76]",True,2024-06-19 12:20:36.268430
[755],True,False,Sensor contact not supported,77,[79],True,2024-06-19 12:20:37.273724
[740],True,False,Sensor contact not supported,77,[81],True,2024-06-19 12:20:38.263467
"[742, 750]",True,False,Sensor contact not supported,78,"[80, 80]",True,2024-06-19 12:20:39.268243
[751],True,False,Sensor contact not supported,78,[79],True,2024-06-19 12:20:40.262897
[772],True,False,Sensor contact not supported,78,[77],True,2024-06-19 12:20:41.263742
"[754, 747]",True,False,Sensor contact not supported,78,"[79, 80]",True,2024-06-19 12:20:42.257125
[755],True,False,Sensor contact not supported,79,[79],True,2024-06-19 12:20:43.756463
[742],True,False,Sensor contact not supported,79,[80],True,2024-06-19 12:20:44.249347
"[749, 747]",True,False,Sensor contact not supported,79,"[80, 80]",True,2024-06-19 12:20:45.247383
[734],True,False,Sensor contact not supported,79,[81],True,2024-06-19 12:20:46.248937
[741],True,False,Sensor contact not supported,79,[80],True,2024-06-19 12:20:47.246307
"[738, 739]",True,False,Sensor contact not supported,80,"[81, 81]",True,2024-06-19 12:20:48.240712
[754],True,False,Sensor contact not supported,80,[79],True,2024-06-19 12:20:49.243501
[759],True,False,Sensor contact not supported,80,[79],True,2024-06-19 12:20:50.241550
