sensor_contact,rr_hr,hr,timestamp_received,rr,rr_interval,hrv_uint8,ee_status
Sensor contact not supported,[179],179,2024-06-19 15:23:55.871004,[334],True,True,False
Sensor contact not supported,[183],180,2024-06-19 15:23:56.200283,[327],True,True,False
Sensor contact not supported,[179],180,2024-06-19 15:23:56.530833,[334],True,True,False
Sensor contact not supported,[179],179,2024-06-19 15:23:56.860387,[334],True,True,False
Sensor contact not supported,[183],180,2024-06-19 15:23:57.236316,[327],True,True,False
Sensor contact not supported,[179],180,2024-06-19 15:23:57.536394,[334],True,True,False
Sensor contact not supported,[179],179,2024-06-19 15:23:57.910632,[334],True,True,False
Sensor contact not supported,[183],180,2024-06-19 15:23:58.195256,[327],True,True,False
Sensor contact not supported,[179],180,2024-06-19 15:23:58.525167,[334],True,True,False
Sensor contact not supported,[179],179,2024-06-19 15:23:58.870518,[334],True,True,False
Sensor contact not supported,[183],180,2024-06-19 15:23:59.200878,[327],True,True,False
Sensor contact not supported,[179],180,2024-06-19 15:23:59.531175,[334],True,True,False
Sensor contact not supported,[179],179,2024-06-19 15:23:59.860348,[334],True,True,False
Sensor contact not supported,[183],180,2024-06-19 15:24:00.235932,[327],True,True,False
Sensor contact not supported,[179],180,2024-06-19 15:24:00.535486,[334],True,True,False
Sensor contact not supported,[179],179,2024-06-19 15:24:00.910916,[334],True,True,False
Sensor contact not supported,[183],180,2024-06-19 15:24:01.195503,[327],True,True,False
Sensor contact not supported,[179],180,2024-06-19 15:24:01.525915,[334],True,True,False
Sensor contact not supported,[179],179,2024-06-19 15:24:01.871117,[334],True,True,False
Sensor contact not supported,[183],180,2024-06-19 15:24:02.201186,[327],True,True,False
Sensor contact not supported,[179],180,2024-06-19 15:24:02.530964,[334],True,True,False
Sensor contact not supported,[179],179,2024-06-19 15:24:02.861205,[334],True,True,False
Sensor contact not supported,[183],180,2024-06-19 15:24:03.235845,[327],True,True,False
Sensor contact not supported,[179],180,2024-06-19 15:24:03.536008,[334],True,True,False
Sensor contact not supported,[179],179,2024-06-19 15:24:03.880297,[334],True,True,False
Sensor contact not supported,[183],180,2024-06-19 15:24:04.241011,[327],True,True,False
Sensor contact not supported,[179],180,2024-06-19 15:24:04.526192,[334],True,True,False
Sensor contact not supported,[179],179,2024-06-19 15:24:04.870735,[334],True,True,False
Sensor contact not supported,[183],180,2024-06-19 15:24:05.201040,[327],True,True,False
Sensor contact not supported,[179],180,2024-06-19 15:24:05.531136,[334],True,True,False
Sensor contact not supported,[179],179,2024-06-19 15:24:05.860372,[334],True,True,False
Sensor contact not supported,[183],180,2024-06-19 15:24:06.190467,[327],True,True,False
Sensor contact not supported,[179],180,2024-06-19 15:24:06.535683,[334],True,True,False
Sensor contact not supported,[179],179,2024-06-19 15:24:06.865977,[334],True,True,False
Sensor contact not supported,[183],180,2024-06-19 15:24:07.196023,[327],True,True,False
Sensor contact not supported,[179],180,2024-06-19 15:24:07.525459,[334],True,True,False
Sensor contact not supported,[179],179,2024-06-19 15:24:07.870970,[334],True,True,False
Sensor contact not supported,[183],180,2024-06-19 15:24:08.201357,[327],True,True,False
Sensor contact not supported,[179],180,2024-06-19 15:24:08.530725,[334],True,True,False
Sensor contact not supported,[179],179,2024-06-19 15:24:08.860277,[334],True,True,False
Sensor contact not supported,[183],180,2024-06-19 15:24:09.250591,[327],True,True,False
Sensor contact not supported,[179],180,2024-06-19 15:24:09.535827,[334],True,True,False
Sensor contact not supported,[179],179,2024-06-19 15:24:09.866234,[334],True,True,False
Sensor contact not supported,[183],180,2024-06-19 15:24:10.195627,[327],True,True,False
Sensor contact not supported,[179],180,2024-06-19 15:24:10.525778,[334],True,True,False
Sensor contact not supported,[179],179,2024-06-19 15:24:10.870919,[334],True,True,False
Sensor contact not supported,[183],180,2024-06-19 15:24:11.200933,[327],True,True,False
Sensor contact not supported,[179],180,2024-06-19 15:24:11.530894,[334],True,True,False
Sensor contact not supported,[179],179,2024-06-19 15:24:11.860879,[334],True,True,False
Sensor contact not supported,[183],180,2024-06-19 15:24:12.235223,[327],True,True,False
Sensor contact not supported,[179],180,2024-06-19 15:24:12.535810,[334],True,True,False
Sensor contact not supported,[179],179,2024-06-19 15:24:12.910544,[334],True,True,False
Sensor contact not supported,[183],180,2024-06-19 15:24:13.195796,[327],True,True,False
Sensor contact not supported,[179],180,2024-06-19 15:24:13.540528,[334],True,True,False
Sensor contact not supported,[179],179,2024-06-19 15:24:13.870959,[334],True,True,False
Sensor contact not supported,[183],180,2024-06-19 15:24:14.245986,[327],True,True,False
Sensor contact not supported,[179],180,2024-06-19 15:24:14.530827,[334],True,True,False
Sensor contact not supported,[179],179,2024-06-19 15:24:14.861065,[334],True,True,False
Sensor contact not supported,[183],180,2024-06-19 15:24:15.235343,[327],True,True,False
