rr_hr,timestamp_received,ee_status,rr_interval,rr,sensor_contact,hrv_uint8,hr
[60],2024-06-20 15:22:15.494987,False,True,[1000],Sensor contact not supported,True,60
[60],2024-06-20 15:22:16.271580,False,True,[1000],Sensor contact not supported,True,60
[60],2024-06-20 15:22:17.048163,False,True,[1000],Sensor contact not supported,True,60
[60],2024-06-20 15:22:17.824177,False,True,[1000],Sensor contact not supported,True,60
,2024-06-20 15:22:18.601438,False,False,,Sensor contact not supported,True,59
[60],2024-06-20 15:22:19.376222,False,True,[999],Sensor contact not supported,True,60
[60],2024-06-20 15:22:20.153268,False,True,[1000],Sensor contact not supported,True,59
[60],2024-06-20 15:22:20.929114,False,True,[1000],Sensor contact not supported,True,60
,2024-06-20 15:22:21.705860,False,False,,Sensor contact not supported,True,60
[60],2024-06-20 15:22:22.481481,False,True,[1000],Sensor contact not supported,True,60
[60],2024-06-20 15:22:23.258065,False,True,[1000],Sensor contact not supported,True,60
[60],2024-06-20 15:22:24.034175,False,True,[1000],Sensor contact not supported,True,60
[60],2024-06-20 15:22:24.810019,False,True,[1000],Sensor contact not supported,True,60
,2024-06-20 15:22:25.586987,False,False,,Sensor contact not supported,True,60
"[60, 109]",2024-06-20 15:22:26.362564,False,True,"[1000, 550]",Sensor contact not supported,True,60
[120],2024-06-20 15:22:27.139151,False,True,[499],Sensor contact not supported,True,59
"[120, 120]",2024-06-20 15:22:27.915702,False,True,"[500, 500]",Sensor contact not supported,True,59
[120],2024-06-20 15:22:28.691537,False,True,[500],Sensor contact not supported,True,59
"[120, 120]",2024-06-20 15:22:29.467427,False,True,"[500, 499]",Sensor contact not supported,True,59
[120],2024-06-20 15:22:30.244324,False,True,[500],Sensor contact not supported,True,59
"[120, 120]",2024-06-20 15:22:31.020597,False,True,"[500, 500]",Sensor contact not supported,True,60
[120],2024-06-20 15:22:31.796358,False,True,[500],Sensor contact not supported,True,60
"[120, 120]",2024-06-20 15:22:32.573301,False,True,"[500, 500]",Sensor contact not supported,True,60
"[120, 120]",2024-06-20 15:22:33.349334,False,True,"[500, 500]",Sensor contact not supported,True,60
[120],2024-06-20 15:22:34.125436,False,True,[500],Sensor contact not supported,True,60
"[120, 120]",2024-06-20 15:22:34.901391,False,True,"[500, 500]",Sensor contact not supported,True,60
[120],2024-06-20 15:22:35.677624,False,True,[500],Sensor contact not supported,True,67
"[120, 120]",2024-06-20 15:22:36.453889,False,True,"[500, 500]",Sensor contact not supported,True,79
[120],2024-06-20 15:22:37.230517,False,True,[500],Sensor contact not supported,True,85
"[120, 120]",2024-06-20 15:22:38.006894,False,True,"[500, 500]",Sensor contact not supported,True,93
[120],2024-06-20 15:22:38.782733,False,True,[500],Sensor contact not supported,True,96
