timestamp_received,hr,sensor_contact,rr,ee_status,rr_interval,rr_hr,hrv_uint8
2024-07-11 16:02:49.476945,163,Sensor contact not supported,[366],False,True,[163],True
2024-07-11 16:02:50.046619,156,Sensor contact not supported,[538],False,True,[111],True
2024-07-11 16:02:50.421222,157,Sensor contact not supported,[366],False,True,[163],True
2024-07-11 16:02:50.826744,159,Sensor contact not supported,[358],False,True,[167],True
2024-07-11 16:02:51.156521,160,Sensor contact not supported,[358],False,True,[167],True
2024-07-11 16:02:51.561150,160,Sensor contact not supported,[366],False,True,[163],True
2024-07-11 16:02:51.876746,160,Sensor contact not supported,[358],False,True,[167],True
2024-07-11 16:02:52.253711,161,Sensor contact not supported,[358],False,True,[167],True
2024-07-11 16:02:52.611371,162,Sensor contact not supported,[366],False,True,[163],True
2024-07-11 16:02:53.016553,162,Sensor contact not supported,[358],False,True,[167],True
2024-07-11 16:02:53.376354,163,Sensor contact not supported,[358],False,True,[167],True
2024-07-11 16:02:53.736255,163,Sensor contact not supported,[366],False,True,[163],True
2024-07-11 16:02:54.096876,164,Sensor contact not supported,[358],False,True,[167],True
2024-07-11 16:02:54.471586,164,Sensor contact not supported,[358],False,True,[167],True
2024-07-11 16:02:54.831926,163,Sensor contact not supported,[366],False,True,[163],True
2024-07-11 16:02:55.146682,167,Sensor contact not supported,[358],False,True,[167],True
2024-07-11 16:02:55.551344,167,Sensor contact not supported,[358],False,True,[167],True
2024-07-11 16:02:55.911770,166,Sensor contact not supported,[366],False,True,[163],True
2024-07-11 16:02:56.286108,166,Sensor contact not supported,[358],False,True,[167],True
2024-07-11 16:02:56.646569,166,Sensor contact not supported,[358],False,True,[167],True
2024-07-11 16:02:56.976531,165,Sensor contact not supported,[366],False,True,[163],True
2024-07-11 16:02:57.336628,166,Sensor contact not supported,[358],False,True,[167],True
2024-07-11 16:02:57.696833,166,Sensor contact not supported,[358],False,True,[167],True
2024-07-11 16:02:58.056827,165,Sensor contact not supported,[366],False,True,[163],True
2024-07-11 16:02:58.431168,166,Sensor contact not supported,[358],False,True,[167],True
2024-07-11 16:02:58.791640,166,Sensor contact not supported,[358],False,True,[167],True
2024-07-11 16:02:59.136542,165,Sensor contact not supported,[366],False,True,[163],True
2024-07-11 16:02:59.511324,166,Sensor contact not supported,[358],False,True,[167],True
2024-07-11 16:02:59.916102,166,Sensor contact not supported,[358],False,True,[167],True
