rr,rr_interval,timestamp_received,hr,hrv_uint8,sensor_contact,ee_status,rr_hr
[1000],True,2024-06-19 14:59:34.929616,120,True,Sensor contact not supported,False,[60]
[1000],True,2024-06-19 14:59:35.934627,120,True,Sensor contact not supported,False,[60]
[1000],True,2024-06-19 14:59:36.970047,120,True,Sensor contact not supported,False,[60]
[1000],True,2024-06-19 14:59:37.930836,120,True,Sensor contact not supported,False,[60]
[1000],True,2024-06-19 14:59:38.935212,120,True,Sensor contact not supported,False,[60]
[1000],True,2024-06-19 14:59:39.940384,120,True,Sensor contact not supported,False,[60]
[1000],True,2024-06-19 14:59:40.974939,120,True,Sensor contact not supported,False,[60]
[1000],True,2024-06-19 14:59:41.934855,120,True,Sensor contact not supported,False,[60]
[1000],True,2024-06-19 14:59:42.970032,120,True,Sensor contact not supported,False,[60]
[1000],True,2024-06-19 14:59:43.930018,120,True,Sensor contact not supported,False,[60]
[1000],True,2024-06-19 14:59:44.934777,120,True,Sensor contact not supported,False,[60]
[1000],True,2024-06-19 14:59:45.939756,120,True,Sensor contact not supported,False,[60]
[1000],True,2024-06-19 14:59:46.975298,120,True,Sensor contact not supported,False,[60]
[1000],True,2024-06-19 14:59:47.934817,120,True,Sensor contact not supported,False,[60]
[1000],True,2024-06-19 14:59:48.970243,120,True,Sensor contact not supported,False,[60]
[1000],True,2024-06-19 14:59:49.930103,120,True,Sensor contact not supported,False,[60]
[1000],True,2024-06-19 14:59:50.934695,120,True,Sensor contact not supported,False,[60]
[1000],True,2024-06-19 14:59:51.969781,120,True,Sensor contact not supported,False,[60]
[1000],True,2024-06-19 14:59:52.929962,120,True,Sensor contact not supported,False,[60]
[1000],True,2024-06-19 14:59:53.935408,120,True,Sensor contact not supported,False,[60]
[1000],True,2024-06-19 14:59:54.925132,120,True,Sensor contact not supported,False,[60]
[1000],True,2024-06-19 14:59:55.974734,120,True,Sensor contact not supported,False,[60]
[1000],True,2024-06-19 14:59:56.935264,120,True,Sensor contact not supported,False,[60]
[1000],True,2024-06-19 14:59:57.970699,120,True,Sensor contact not supported,False,[60]
[1000],True,2024-06-19 14:59:58.931059,120,True,Sensor contact not supported,False,[60]
[1000],True,2024-06-19 14:59:59.935199,120,True,Sensor contact not supported,False,[60]
[1000],True,2024-06-19 15:00:00.970296,120,True,Sensor contact not supported,False,[60]
[1000],True,2024-06-19 15:00:01.930332,120,True,Sensor contact not supported,False,[60]
[1000],True,2024-06-19 15:00:02.980644,115,True,Sensor contact not supported,False,[60]
[1000],True,2024-06-19 15:00:03.969699,107,True,Sensor contact not supported,False,[60]
[1000],True,2024-06-19 15:00:04.930206,99,True,Sensor contact not supported,False,[60]
[1000],True,2024-06-19 15:00:05.980250,92,True,Sensor contact not supported,False,[60]
[1000],True,2024-06-19 15:00:06.970231,85,True,Sensor contact not supported,False,[60]
[1000],True,2024-06-19 15:00:07.929685,80,True,Sensor contact not supported,False,[60]
[1000],True,2024-06-19 15:00:08.935265,75,True,Sensor contact not supported,False,[60]
[1000],True,2024-06-19 15:00:09.970184,70,True,Sensor contact not supported,False,[60]
[1000],True,2024-06-19 15:00:10.929912,67,True,Sensor contact not supported,False,[60]
[1000],True,2024-06-19 15:00:11.934750,65,True,Sensor contact not supported,False,[60]
[1000],True,2024-06-19 15:00:12.970476,63,True,Sensor contact not supported,False,[60]
[1000],True,2024-06-19 15:00:13.929767,62,True,Sensor contact not supported,False,[60]
[1000],True,2024-06-19 15:00:14.935442,61,True,Sensor contact not supported,False,[60]
[1000],True,2024-06-19 15:00:15.969879,61,True,Sensor contact not supported,False,[60]
[1000],True,2024-06-19 15:00:16.974533,60,True,Sensor contact not supported,False,[60]
[1000],True,2024-06-19 15:00:17.935201,60,True,Sensor contact not supported,False,[60]
[1000],True,2024-06-19 15:00:18.940154,60,True,Sensor contact not supported,False,[60]
[1000],True,2024-06-19 15:00:19.930184,60,True,Sensor contact not supported,False,[60]
[1000],True,2024-06-19 15:00:20.935347,60,True,Sensor contact not supported,False,[60]
[1000],True,2024-06-19 15:00:21.969678,60,True,Sensor contact not supported,False,[60]
[1000],True,2024-06-19 15:00:22.930231,60,True,Sensor contact not supported,False,[60]
[1000],True,2024-06-19 15:00:23.980894,60,True,Sensor contact not supported,False,[60]
[1000],True,2024-06-19 15:00:24.970950,60,True,Sensor contact not supported,False,[60]
[1000],True,2024-06-19 15:00:25.930883,60,True,Sensor contact not supported,False,[60]
[1000],True,2024-06-19 15:00:26.935297,60,True,Sensor contact not supported,False,[60]
[1000],True,2024-06-19 15:00:27.970875,60,True,Sensor contact not supported,False,[60]
[1000],True,2024-06-19 15:00:28.930918,60,True,Sensor contact not supported,False,[60]
[1000],True,2024-06-19 15:00:29.936312,60,True,Sensor contact not supported,False,[60]
[1000],True,2024-06-19 15:00:30.940832,60,True,Sensor contact not supported,False,[60]
[1000],True,2024-06-19 15:00:31.975825,60,True,Sensor contact not supported,False,[60]
[1000],True,2024-06-19 15:00:33.017312,60,True,Sensor contact not supported,False,[60]
