ee_status,hrv_uint8,sensor_contact,hr,rr_hr,rr_interval,rr,timestamp_received
False,True,Contact detected,120,"[122, 122]",True,"[488, 488]",2024-08-13 14:24:12.502356
False,True,Contact detected,120,[122],True,[488],2024-08-13 14:24:13.491711
False,True,Contact detected,120,"[122, 122, 123]",True,"[488, 488, 485]",2024-08-13 14:24:14.511985
False,True,Contact detected,120,[122],True,[488],2024-08-13 14:24:15.502337
False,True,Contact detected,120,"[122, 122]",True,"[488, 488]",2024-08-13 14:24:16.491692
False,True,Contact detected,120,"[122, 122, 122]",True,"[488, 488, 488]",2024-08-13 14:24:17.511965
False,True,Contact detected,120,[122],True,[488],2024-08-13 14:24:18.502317
False,True,Contact detected,120,"[122, 123]",True,"[488, 485]",2024-08-13 14:24:19.491673
False,True,Contact detected,120,"[122, 122, 122]",True,"[488, 488, 488]",2024-08-13 14:24:20.511945
False,True,Contact detected,120,[122],True,[488],2024-08-13 14:24:21.502298
False,True,Contact detected,120,"[122, 122, 122]",True,"[488, 488, 488]",2024-08-13 14:24:22.522571
False,True,Contact detected,120,"[122, 123]",True,"[488, 485]",2024-08-13 14:24:23.511927
False,True,Contact detected,120,[122],True,[488],2024-08-13 14:24:24.502281
False,True,Contact detected,120,"[122, 122, 122]",True,"[488, 488, 488]",2024-08-13 14:24:25.492632
False,True,Contact detected,120,"[122, 122]",True,"[488, 488]",2024-08-13 14:24:26.511908
False,True,Contact detected,120,[122],True,[488],2024-08-13 14:24:27.502261
False,True,Contact detected,120,"[122, 123, 122]",True,"[488, 485, 488]",2024-08-13 14:24:28.492615
False,True,Contact detected,120,[122],True,[488],2024-08-13 14:24:29.511888
False,True,Contact detected,120,"[122, 122]",True,"[488, 488]",2024-08-13 14:24:30.502241
False,True,Contact detected,120,"[122, 122, 122]",True,"[488, 488, 488]",2024-08-13 14:24:31.492594
False,True,Contact detected,120,[122],True,[488],2024-08-13 14:24:32.511869
False,True,Contact detected,120,"[123, 122]",True,"[485, 488]",2024-08-13 14:24:33.502222
