hrv_uint8,timestamp_received,ee_status,sensor_contact,hr,rr,rr_hr,rr_interval
True,2024-07-11 15:46:57.890015,False,Sensor contact not supported,132,[459],[130],True
True,2024-07-11 15:46:58.354718,False,Sensor contact not supported,132,[459],[130],True
True,2024-07-11 15:46:58.819601,False,Sensor contact not supported,130,[467],[128],True
True,2024-07-11 15:46:59.299502,False,Sensor contact not supported,129,[475],[126],True
True,2024-07-11 15:46:59.764743,False,Sensor contact not supported,128,[475],[126],True
True,2024-07-11 15:47:00.304850,False,Sensor contact not supported,127,[475],[126],True
True,2024-07-11 15:47:00.739541,False,Sensor contact not supported,126,[491],[122],True
True,2024-07-11 15:47:01.279666,False,Sensor contact not supported,124,[491],[122],True
True,2024-07-11 15:47:01.729720,False,Sensor contact not supported,124,[491],[122],True
True,2024-07-11 15:47:02.270059,False,Sensor contact not supported,122,[506],[118],True
True,2024-07-11 15:47:02.734247,False,Sensor contact not supported,121,[500],[120],True
True,2024-07-11 15:47:03.230074,False,Sensor contact not supported,121,[500],[120],True
True,2024-07-11 15:47:03.769949,False,Sensor contact not supported,120,[500],[120],True
True,2024-07-11 15:47:04.294992,False,Sensor contact not supported,121,[491],[122],True
True,2024-07-11 15:47:04.715033,False,Sensor contact not supported,122,[483],[124],True
True,2024-07-11 15:47:05.194816,False,Sensor contact not supported,122,[483],[124],True
True,2024-07-11 15:47:05.674495,False,Sensor contact not supported,123,[475],[126],True
True,2024-07-11 15:47:06.140171,False,Sensor contact not supported,124,[475],[126],True
True,2024-07-11 15:47:06.620107,False,Sensor contact not supported,124,[475],[126],True
True,2024-07-11 15:47:07.085117,False,Sensor contact not supported,125,[467],[128],True
True,2024-07-11 15:47:07.564259,False,Sensor contact not supported,126,[467],[128],True
True,2024-07-11 15:47:08.059204,False,Sensor contact not supported,127,[459],[130],True
True,2024-07-11 15:47:08.479509,False,Sensor contact not supported,128,[459],[130],True
True,2024-07-11 15:47:08.944813,False,Sensor contact not supported,129,[459],[130],True
True,2024-07-11 15:47:09.409400,False,Sensor contact not supported,130,[452],[132],True
True,2024-07-11 15:47:09.904297,False,Sensor contact not supported,130,[459],[130],True
True,2024-07-11 15:47:10.354333,False,Sensor contact not supported,131,[444],[135],True
True,2024-07-11 15:47:10.804622,False,Sensor contact not supported,131,[452],[132],True
True,2024-07-11 15:47:11.194992,False,Sensor contact not supported,132,[444],[135],True
True,2024-07-11 15:47:11.690081,False,Sensor contact not supported,133,[444],[135],True
True,2024-07-11 15:47:12.139853,False,Sensor contact not supported,133,[444],[135],True
True,2024-07-11 15:47:12.529609,False,Sensor contact not supported,134,[444],[135],True
True,2024-07-11 15:47:13.024972,False,Sensor contact not supported,135,[436],[137],True
True,2024-07-11 15:47:13.414267,False,Sensor contact not supported,135,[436],[137],True
True,2024-07-11 15:47:13.849620,False,Sensor contact not supported,136,[436],[137],True
True,2024-07-11 15:47:14.284521,False,Sensor contact not supported,136,[436],[137],True
True,2024-07-11 15:47:14.719943,False,Sensor contact not supported,137,[428],[140],True
True,2024-07-11 15:47:15.154705,False,Sensor contact not supported,137,[436],[137],True
True,2024-07-11 15:47:15.575180,False,Sensor contact not supported,138,[428],[140],True
True,2024-07-11 15:47:16.009906,False,Sensor contact not supported,138,[428],[140],True
True,2024-07-11 15:47:16.475089,False,Sensor contact not supported,139,[428],[140],True
True,2024-07-11 15:47:16.879935,False,Sensor contact not supported,140,[420],[142],True
True,2024-07-11 15:47:17.315041,False,Sensor contact not supported,140,[428],[140],True
True,2024-07-11 15:47:17.764692,False,Sensor contact not supported,140,[420],[142],True
True,2024-07-11 15:47:18.139727,False,Sensor contact not supported,141,[420],[142],True
True,2024-07-11 15:47:18.559971,False,Sensor contact not supported,141,[420],[142],True
True,2024-07-11 15:47:18.994890,False,Sensor contact not supported,141,[420],[142],True
True,2024-07-11 15:47:19.415227,False,Sensor contact not supported,142,[420],[142],True
True,2024-07-11 15:47:19.834760,False,Sensor contact not supported,142,[420],[142],True
True,2024-07-11 15:47:20.285326,False,Sensor contact not supported,143,[413],[145],True
True,2024-07-11 15:47:20.690007,False,Sensor contact not supported,142,[420],[142],True
True,2024-07-11 15:47:21.079758,False,Sensor contact not supported,143,[413],[145],True
True,2024-07-11 15:47:21.499721,False,Sensor contact not supported,143,[413],[145],True
True,2024-07-11 15:47:21.950079,False,Sensor contact not supported,143,[420],[142],True
True,2024-07-11 15:47:22.324728,False,Sensor contact not supported,143,[413],[145],True
True,2024-07-11 15:47:22.744812,False,Sensor contact not supported,144,[413],[145],True
True,2024-07-11 15:47:23.195183,False,Sensor contact not supported,145,[405],[148],True
True,2024-07-11 15:47:23.570245,False,Sensor contact not supported,144,[420],[142],True
True,2024-07-11 15:47:23.990324,False,Sensor contact not supported,144,[413],[145],True
