rr,ee_status,sensor_contact,rr_hr,timestamp_received,hrv_uint8,hr,rr_interval
[834],False,Sensor contact not supported,[71],2024-06-19 15:51:22.500024,True,72,True
[834],False,Sensor contact not supported,[71],2024-06-19 15:51:23.324694,True,72,True
[827],False,Sensor contact not supported,[72],2024-06-19 15:51:24.164126,True,72,True
[834],False,Sensor contact not supported,[71],2024-06-19 15:51:24.989380,True,72,True
[834],False,Sensor contact not supported,[71],2024-06-19 15:51:25.874188,True,72,True
[827],False,Sensor contact not supported,[72],2024-06-19 15:51:26.669574,True,72,True
[834],False,Sensor contact not supported,[71],2024-06-19 15:51:27.494207,True,72,True
[834],False,Sensor contact not supported,[71],2024-06-19 15:51:28.334614,True,72,True
[827],False,Sensor contact not supported,[72],2024-06-19 15:51:29.174503,True,72,True
[834],False,Sensor contact not supported,[71],2024-06-19 15:51:30.044875,True,72,True
[819],False,Sensor contact not supported,[73],2024-06-19 15:51:30.854474,True,72,True
[803],False,Sensor contact not supported,[74],2024-06-19 15:51:31.664565,True,73,True
[772],False,Sensor contact not supported,[77],2024-06-19 15:51:32.429177,True,74,True
[750],False,Sensor contact not supported,[80],2024-06-19 15:51:33.134013,True,76,True
[725],False,Sensor contact not supported,[82],2024-06-19 15:51:33.914027,True,78,True
[709],False,Sensor contact not supported,[84],2024-06-19 15:51:34.574120,True,80,True
[686],False,Sensor contact not supported,[87],2024-06-19 15:51:35.264103,True,80,True
[670],False,Sensor contact not supported,[89],2024-06-19 15:51:35.984189,True,81,True
[655],False,Sensor contact not supported,[91],2024-06-19 15:51:36.584360,True,83,True
[639],False,Sensor contact not supported,[93],2024-06-19 15:51:37.229193,True,84,True
[625],False,Sensor contact not supported,[96],2024-06-19 15:51:37.904584,True,86,True
[616],False,Sensor contact not supported,[97],2024-06-19 15:51:38.474688,True,89,True
[592],False,Sensor contact not supported,[101],2024-06-19 15:51:39.074601,True,91,True
[592],False,Sensor contact not supported,[101],2024-06-19 15:51:39.704152,True,94,True
[577],False,Sensor contact not supported,[103],2024-06-19 15:51:40.290139,True,97,True
[569],False,Sensor contact not supported,[105],2024-06-19 15:51:40.814481,True,99,True
[553],False,Sensor contact not supported,[108],2024-06-19 15:51:41.369141,True,100,True
[553],False,Sensor contact not supported,[108],2024-06-19 15:51:41.923915,True,103,True
[545],False,Sensor contact not supported,[110],2024-06-19 15:51:42.509348,True,105,True
