hrv_uint8,ee_status,timestamp_received,rr_hr,rr,sensor_contact,rr_interval,hr
True,False,2024-08-12 18:15:09.140596,"[90, 88]","[666, 681]",Contact detected,True,86
True,False,2024-08-12 18:15:10.130949,[83],[715],Contact detected,True,87
True,False,2024-08-12 18:15:11.150224,[81],[739],Contact detected,True,87
True,False,2024-08-12 18:15:12.140577,"[81, 80]","[739, 750]",Contact detected,True,86
True,False,2024-08-12 18:15:13.130930,[80],[746],Contact detected,True,85
True,False,2024-08-12 18:15:14.151203,[82],[723],Contact detected,True,84
True,False,2024-08-12 18:15:15.140558,"[82, 82]","[727, 727]",Contact detected,True,81
True,False,2024-08-12 18:15:16.130911,[84],[711],Contact detected,True,81
True,False,2024-08-12 18:15:17.151185,"[85, 86]","[705, 693]",Contact detected,True,80
True,False,2024-08-12 18:15:18.140539,[88],[678],Contact detected,True,81
True,False,2024-08-12 18:15:19.130892,"[89, 88]","[674, 678]",Contact detected,True,82
True,False,2024-08-12 18:15:20.151166,[86],[697],Contact detected,True,83
True,False,2024-08-12 18:15:21.140520,[83],[719],Contact detected,True,84
True,False,2024-08-12 18:15:22.130873,[80],[746],Contact detected,True,84
True,False,2024-08-12 18:15:23.181066,[72],[830],Contact detected,True,84
True,False,2024-08-12 18:15:24.170421,"[70, 72]","[856, 830]",Contact detected,True,83
True,False,2024-08-12 18:15:25.160842,[77],[776],Contact detected,True,81
True,False,2024-08-12 18:15:26.150197,"[82, 84]","[723, 708]",Contact detected,True,78
True,False,2024-08-12 18:15:27.140667,[82],[727],Contact detected,True,77
True,False,2024-08-12 18:15:28.130982,[84],[711],Contact detected,True,77
True,False,2024-08-12 18:15:29.150296,"[82, 84]","[723, 711]",Contact detected,True,78
True,False,2024-08-12 18:15:30.140648,[82],[727],Contact detected,True,79
True,False,2024-08-12 18:15:31.130962,[80],[742],Contact detected,True,80
True,False,2024-08-12 18:15:32.150238,[70],[852],Contact detected,True,80
True,False,2024-08-12 18:15:33.140631,[61],[981],Contact detected,True,80
True,False,2024-08-12 18:15:34.130943,[69],[864],Contact detected,True,80
True,False,2024-08-12 18:15:35.150258,"[74, 74]","[810, 806]",Contact detected,True,77
True,False,2024-08-12 18:15:36.140621,[77],[776],Contact detected,True,75
True,False,2024-08-12 18:15:37.130924,[77],[773],Contact detected,True,74
True,False,2024-08-12 18:15:38.150239,[75],[799],Contact detected,True,73
True,False,2024-08-12 18:15:39.140585,[74],[810],Contact detected,True,72
True,False,2024-08-12 18:15:40.130825,[70],[848],Contact detected,True,72
True,False,2024-08-12 18:15:41.151098,[71],[840],Contact detected,True,72
True,False,2024-08-12 18:15:42.140453,[70],[852],Contact detected,True,72
True,False,2024-08-12 18:15:43.130806,"[66, 67]","[898, 886]",Contact detected,True,72
True,False,2024-08-12 18:15:44.151079,[69],[864],Contact detected,True,71
True,False,2024-08-12 18:15:45.140434,[68],[875],Contact detected,True,70
True,False,2024-08-12 18:15:46.130787,[71],[836],Contact detected,True,69
True,False,2024-08-12 18:15:47.150337,[71],[840],Contact detected,True,69
True,False,2024-08-12 18:15:48.170610,"[72, 75]","[826, 799]",Contact detected,True,68
True,False,2024-08-12 18:15:49.131044,[76],[784],Contact detected,True,69
True,False,2024-08-12 18:15:50.150318,[78],[765],Contact detected,True,69
True,False,2024-08-12 18:15:51.140672,[76],[788],Contact detected,True,70
True,False,2024-08-12 18:15:52.131025,[68],[878],Contact detected,True,71
True,False,2024-08-12 18:15:53.180270,[67],[886],Contact detected,True,72
True,False,2024-08-12 18:15:54.140653,"[68, 72]","[878, 822]",Contact detected,True,71
True,False,2024-08-12 18:15:55.130442,[78],[769],Contact detected,True,71
True,False,2024-08-12 18:15:56.180486,[78],[761],Contact detected,True,72
True,False,2024-08-12 18:15:57.171195,"[79, 79]","[757, 753]",Contact detected,True,72
True,False,2024-08-12 18:15:58.131194,[80],[750],Contact detected,True,72
True,False,2024-08-12 18:15:59.151348,[78],[761],Contact detected,True,73
True,False,2024-08-12 18:16:00.140619,"[78, 78]","[765, 765]",Contact detected,True,75
True,False,2024-08-12 18:16:01.131359,[77],[776],Contact detected,True,76
True,False,2024-08-12 18:16:02.151341,[77],[776],Contact detected,True,77
True,False,2024-08-12 18:16:03.141117,[77],[773],Contact detected,True,77
True,False,2024-08-12 18:16:04.131092,"[78, 78]","[761, 761]",Contact detected,True,77
True,False,2024-08-12 18:16:05.151364,[78],[761],Contact detected,True,76
True,False,2024-08-12 18:16:06.141326,[78],[765],Contact detected,True,76
True,False,2024-08-12 18:16:07.131343,[77],[773],Contact detected,True,76
True,False,2024-08-12 18:16:08.151365,[77],[773],Contact detected,True,76
True,False,2024-08-12 18:16:09.141117,"[77, 77]","[776, 776]",Contact detected,True,76
True,False,2024-08-12 18:16:10.131372,[77],[773],Contact detected,True,76
True,False,2024-08-12 18:16:11.151336,"[77, 78]","[773, 765]",Contact detected,True,76
True,False,2024-08-12 18:16:12.141247,[78],[765],Contact detected,True,76
True,False,2024-08-12 18:16:13.131356,[78],[765],Contact detected,True,76
True,False,2024-08-12 18:16:14.151347,[79],[753],Contact detected,True,76
True,False,2024-08-12 18:16:15.141071,"[79, 80]","[753, 750]",Contact detected,True,76
True,False,2024-08-12 18:16:16.131363,[79],[753],Contact detected,True,77
True,False,2024-08-12 18:16:17.151287,[78],[769],Contact detected,True,77
True,False,2024-08-12 18:16:18.140634,[76],[784],Contact detected,True,77
True,False,2024-08-12 18:16:19.131263,[76],[784],Contact detected,True,77
True,False,2024-08-12 18:16:20.151356,"[76, 77]","[780, 776]",Contact detected,True,77
True,False,2024-08-12 18:16:21.141258,[78],[761],Contact detected,True,76
True,False,2024-08-12 18:16:22.131354,[80],[750],Contact detected,True,76
True,False,2024-08-12 18:16:23.151333,"[80, 80]","[750, 750]",Contact detected,True,76
True,False,2024-08-12 18:16:24.141234,[80],[742],Contact detected,True,76
True,False,2024-08-12 18:16:25.131355,"[80, 80]","[746, 746]",Contact detected,True,77
True,False,2024-08-12 18:16:26.151271,[80],[742],Contact detected,True,77
True,False,2024-08-12 18:16:27.141347,[82],[727],Contact detected,True,78
True,False,2024-08-12 18:16:28.131269,"[83, 83]","[719, 719]",Contact detected,True,79
True,False,2024-08-12 18:16:29.181369,[83],[715],Contact detected,True,79
True,False,2024-08-12 18:16:30.171252,[84],[708],Contact detected,True,80
True,False,2024-08-12 18:16:31.131280,"[84, 85]","[711, 705]",Contact detected,True,80
True,False,2024-08-12 18:16:32.151264,[84],[708],Contact detected,True,81
True,False,2024-08-12 18:16:33.142055,[84],[708],Contact detected,True,81
True,False,2024-08-12 18:16:34.131331,"[85, 86]","[705, 697]",Contact detected,True,82
True,False,2024-08-12 18:16:35.151359,[87],[685],Contact detected,True,82
True,False,2024-08-12 18:16:36.141283,[87],[685],Contact detected,True,83
