ee_status,hr,timestamp_received,rr_hr,rr_interval,sensor_contact,rr,hrv_uint8
False,60,2024-06-18 08:52:55.524748,[60],True,Sensor contact not supported,[1000],True
False,60,2024-06-18 08:52:56.514419,[60],True,Sensor contact not supported,[1000],True
False,60,2024-06-18 08:52:57.513652,[60],True,Sensor contact not supported,[1000],True
False,60,2024-06-18 08:52:58.512298,[60],True,Sensor contact not supported,[1000],True
False,60,2024-06-18 08:52:59.508784,[60],True,Sensor contact not supported,[1000],True
False,60,2024-06-18 08:53:00.504468,[60],True,Sensor contact not supported,[1000],True
False,60,2024-06-18 08:53:01.509615,[60],True,Sensor contact not supported,[1000],True
False,60,2024-06-18 08:53:02.502685,[60],True,Sensor contact not supported,[1000],True
False,60,2024-06-18 08:53:03.504848,[60],True,Sensor contact not supported,[1000],True
False,60,2024-06-18 08:53:04.498854,[60],True,Sensor contact not supported,[1000],True
False,60,2024-06-18 08:53:05.499827,[60],True,Sensor contact not supported,[1000],True
False,60,2024-06-18 08:53:06.497316,[60],True,Sensor contact not supported,[1000],True
False,60,2024-06-18 08:53:07.490170,[60],True,Sensor contact not supported,[1000],True
False,60,2024-06-18 08:53:08.486097,[60],True,Sensor contact not supported,[1000],True
False,60,2024-06-18 08:53:09.482202,[60],True,Sensor contact not supported,[1000],True
False,60,2024-06-18 08:53:10.480080,[60],True,Sensor contact not supported,[1000],True
False,60,2024-06-18 08:53:11.481486,[60],True,Sensor contact not supported,[1000],True
False,60,2024-06-18 08:53:12.482037,[60],True,Sensor contact not supported,[1000],True
False,60,2024-06-18 08:53:13.479571,[60],True,Sensor contact not supported,[1000],True
False,60,2024-06-18 08:53:14.477195,[60],True,Sensor contact not supported,[1000],True
False,60,2024-06-18 08:53:15.470451,[60],True,Sensor contact not supported,[1000],True
False,60,2024-06-18 08:53:16.471768,[60],True,Sensor contact not supported,[1000],True
False,60,2024-06-18 08:53:17.469651,[60],True,Sensor contact not supported,[1000],True
False,60,2024-06-18 08:53:18.466360,[60],True,Sensor contact not supported,[1000],True
False,60,2024-06-18 08:53:19.464579,[60],True,Sensor contact not supported,[1000],True
False,60,2024-06-18 08:53:20.459749,[60],True,Sensor contact not supported,[1000],True
False,60,2024-06-18 08:53:21.457703,[60],True,Sensor contact not supported,[1000],True
False,60,2024-06-18 08:53:22.457060,,False,Sensor contact not supported,,True
False,60,2024-06-18 08:53:23.456067,,False,Sensor contact not supported,,True
